//name, fileName, volume






鸢尾花,アイリスth05_R_14_2.mp3,-15


//序章
//Golden_City_Factory芥川龙之介の河童,Golden City Factory - 芥川龙之介の河童　~ Candid Friend (Remixes 秘密 ).mp3,-10
//蓬莱人,Extend Ash ～ 蓬莱人 th08_17.mp3,-10
//Plain_Asia,Plain Asia th08_07.mp3,-10




//第一章
破邪の小太刀,破邪の小太刀 ha05_08.mp3,-13

博麗,博麗　～Eastern Wind th2_02.mp3,-10
永遠の巫女,永遠の巫女.mp3,-10
幻夢界,幻夢界 ha03_06.mp3,-13
虽然还有些悲伤,小林卓史 - 少しはまだ悲しいけれど.mp3,-10
请注意万年备用伞,万年置き傘にご注意を th12_05.mp3,-14
神篱，如紫色火焰般燃烧,ひもろぎ、むらさきにもえ ha03_08.mp3,-12
春色小径,Golden City Factory - 春色小径　-　Colorful Path.mp3,-10